 alt,temp,press,dens,Gamma
37280.0,242.82539700902996,416.6773241157993,0.0059778341154067185,1.400447
37320.0,242.93609410883747,414.3666616617408,0.0059419755714704885,1.400447
37360.0,243.04678982366002,412.06988541709546,0.005906348761293421,1.400447
37400.0,243.15748415352368,409.78690550452365,0.005870952080122268,1.400447
37440.0,243.26817709845446,407.5176326698992,0.0058357839350571435,1.400447
37480.00000000001,243.37886865847827,405.26197827770056,0.005800842744958499,1.400447
37520.0,243.48955883362117,403.0198543064384,0.005766126940354881,1.400447
37560.0,243.6002476239091,400.79117334411853,0.005731634963351457,1.400447
37600.0,243.71093502936804,398.5758485837445,0.005697365267539341,1.400447
37640.0,243.82162105002402,396.3737938188462,0.0056633163179055455,1.400447
37680.0,243.93230568590303,394.1849234390546,0.005629486590743857,1.400447
37720.0,244.04298893703108,392.0091524257035,0.0055958745735662984,1.400447
37760.0,244.15367080343407,389.84639634747185,0.00556247876501546,1.400447
37800.00000000001,244.26435128513802,387.6965713560487,0.005529297674777359,1.400447
37840.0,244.37503038216897,385.5595941818503,0.005496329823495291,1.400447
37880.0,244.48570809455288,383.43538212975045,0.005463573742684111,1.400447
37920.0,244.59638442231565,381.3238530748618,0.005431027974645464,1.400447
37960.0,244.70705936548342,379.22492545833745,0.00539869107238354,1.400447
38000.0,244.81773292408198,377.1385182832155,0.005366561599521673,1.400447
38040.0,244.92840509813746,375.0645511102829,0.005334638130219433,1.400447
38080.0,245.0390758876758,373.00294405398824,0.005302919249090648,1.400447
38120.0,245.14974529272297,370.953617778372,0.005271403551121888,1.400447
38160.00000000001,245.26041331330498,368.9164934930368,0.005240089641591751,1.400447
38200.0,245.37107994944776,366.8914929491461,0.0052089761359907635,1.400447
38240.0,245.4817452011773,364.8785384354534,0.00517806165994193,1.400447
38280.0,245.5924090685196,362.87755277436463,0.005147344849121973,1.400447
38320.0,245.70307155150067,360.8884593180296,0.005116824349183196,1.400447
38360.0,245.8137326501464,358.91118194446653,0.005086498815676038,1.400447
38400.0,245.9243923644828,356.94564505370886,0.005056366913972135,1.400447
38440.0,246.0350506945359,354.9917735639922,0.005026427319188166,1.400447
38480.00000000001,246.1457076403316,353.0494929079666,0.004996678716110282,1.400447
38520.0,246.2563632018959,351.11872902893487,0.0049671197991190685,1.400447
38560.0,246.3670173792548,349.1994083771254,0.00493774927211524,1.400447
38600.0,246.47767017243424,347.2914579059912,0.004908565848445879,1.400447
38640.0,246.5883215814602,345.3948050685365,0.004879568250831277,1.400447
38680.0,246.69897160635864,343.5093778136767,0.004850755211292434,1.400447
38720.0,246.80962024715555,341.6351045826193,0.004822125471079069,1.400447
38760.0,246.92026750387691,339.77191430527984,0.004793677780598286,1.400447
38800.00000000001,247.03091337654868,337.91973639672074,0.004765410899343791,1.400447
38840.0,247.14155786519683,336.0785007536216,0.004737323595825721,1.400447
38880.0,247.2522009698473,334.2481377507718,0.004709414647500984,1.400447
38920.0,247.3628426905261,332.4285782375944,0.004681682840704226,1.400447
38960.0,247.47348302725914,330.6197535346968,0.0046541269705793606,1.400447
39000.0,247.58412198007244,328.8215954304432,0.0046267458410115874,1.400447
39040.0,247.69475954899195,327.0340361775617,0.0045995382645600885,1.400447
39080.0,247.80539573404366,325.25700848977016,0.004572503062391164,1.400447
39120.0,247.91603053525344,323.4904455384317,0.004545639064211956,1.400447
39160.00000000001,248.02666395264737,321.7342809492338,0.0045189451082046994,1.400447
39200.0,248.13729598625133,319.9884487988971,0.004492420040961555,1.400447
39240.0,248.24792663609134,318.2528836119043,0.0044660627174198985,1.400447
39280.0,248.35855590219336,316.5275203572581,0.004439872000798193,1.400447
39320.0,248.46918378458327,314.81229444526286,0.0044138467625323774,1.400447
39360.0,248.5798102832871,313.1071417243296,0.004387985882212725,1.400447
39400.0,248.69043539833083,311.41199847780734,0.004362288247521272,1.400447
39440.0,248.80105912974037,309.72680142083965,0.004336752754169746,1.400447
39480.00000000001,248.9116814775417,308.05148769724264,0.004311378305837964,1.400447
39520.0,249.02230244176076,306.38599487640886,0.004286163814112765,1.400447
39560.0,249.1329220224235,304.73026095023414,0.004261108198427417,1.400447
39600.0,249.2435402195559,303.08422433006626,0.0042362103860015005,1.400447
39640.0,249.35415703318395,301.4478238436837,0.004211469311781369,1.400447
39680.0,249.46477246333353,299.82099873228833,0.004186883918380957,1.400447
39720.0,249.57538651003065,298.20368864752794,0.004162453156023173,1.400447
39760.0,249.68599917330124,296.5958336485386,0.004138175982481722,1.400447
39800.00000000001,249.7966104531713,294.99737419900873,0.00411405136302338,1.400447
39840.0,249.90722034966666,293.40825116427294,0.004090078270350848,1.400447
39880.0,250.01782886281342,291.8284058084139,0.004066255684545857,1.400447
39920.0,250.12843599263743,290.25777979140054,0.004042582593012947,1.400447
39960.0,250.2390417391647,288.6963151662418,0.0040190579904235985,1.400447
40000.0,250.34964610242113,287.1439543761609,0.0039956808786607975,1.400447
40040.0,250.4602490824327,285.60064025179423,0.003972450266764111,1.400447
40080.0,250.57085067922534,284.06631600841024,0.003949365170875152,1.400447
40120.0,250.68145089282504,282.5409252431486,0.003926424614183513,1.400447
40160.00000000001,250.79204972325772,281.024411932283,0.003903627626873124,1.400447
40200.0,250.9026471705493,279.5167204285029,0.0038809732460690642,1.400447
40240.0,251.01324323472576,278.0177954582146,0.0038584605157847467,1.400447
40280.0,251.12383791581303,276.5275821188668,0.0038360884868696003,1.400447
40320.0,251.23443121383707,275.0460258762933,0.0038138562169571233,1.400447
40360.0,251.34502312882378,273.5730725620769,0.0037917627704133713,1.400447
40400.0,251.45561366079917,272.10866837093266,0.0037698072182858434,1.400447
40440.0,251.56620280978916,270.6527598581136,0.003747988638252825,1.400447
40480.00000000001,251.67679057581967,269.20529393683273,0.003726306114573081,1.400447
40520.0,251.78737695891664,267.7662178757059,0.0037047587380359733,1.400447
40560.0,251.89796195910603,266.3354792962148,0.0036833456059119913,1.400447
40600.0,252.00854557641375,264.9130261701895,0.0036620658219036813,1.400447
